Number,Station,Catchment,Zone,Time stamp (Sampling),Electrical Conductivity @25 C / WCK - Determination of Conductivity in Water [µS/cm],Nitrogen - total / WCK - Simultaneous Determination of Total Nitrogen and Total Phosphorus using Persulphate Digestion [mg/L],Nitrate + nitrite as N (NOx) / WCK - Determination of Oxidised Nitrogen Nitrate & Nitrite in Water [mg/L],Phosphorus - total / WCK - Simultaneous Determination of Total Nitrogen and Total Phosphorus using Persulphate Digestion [mg/L],Phosphorus - reactive (orthophosphate) - dissolved / WCK - Determination of Reactive Phosphorus [mg/L],Solids - total suspended @ 105 C / WCK - Total Suspended Solids at 105°C [mg/L],Turbidity / Field - Determination of turbidity by nephelometry using HACH turbidimeter [NTU],Oxygen - dissolved saturation / Field - Water quality sonde [% sat],pH / Field - Water quality sonde [---]
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,6/28/2016 11:45,230,1.1,0.42,0.24,0.14,13,34,,
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,8/18/2016 12:27,260,0.52,0.19,0.15,0.11,10,16.9,108,7.8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,9/29/2016 11:18,340,0.36,0.01,0.099,0.068,10,5.4,101,8.1
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,10/26/2016 10:21,350,0.22,0.01,0.088,0.068,10,5.7,112,8.3
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,11/29/2016 8:57,330,0.28,0.01,0.14,0.12,10,6.8,119,8.2
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,12/20/2016 9:15,250,0.73,0.07,0.16,0.13,11,18.9,96.9,7.9
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,1/24/2017 9:39,277,0.356,0.02,0.161,0.132,10,7.9,106,8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2/23/2017 7:21,298,0.374,0.02,0.201,0.188,10,4.1,89.3,8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,3/30/2017 9:31,152,0.785,0.24,0.272,0.23,24,343,102,7.4
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,4/27/2017 9:30,267,0.375,0.11,0.098,0.077,10,11.8,106,7.8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,7/26/2017 10:38,290,0.26,0.07,0.073,0.06,10,6.9,109,
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,8/24/2017 11:03,340,0.16,0.02,0.048,0.048,10,4.5,102,8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,9/28/2017 11:14,380,0.19,0.01,0.068,0.054,10,6.1,117,8.3
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,11/21/2017 11:59,280,0.33,0.01,0.13,0.079,12,12.7,97.5,7.8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,12/20/2017 10:08,240,0.23,0.01,0.095,0.082,13,20.8,99.2,8.5
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,1/17/2018 9:48,280,0.43,0.02,0.16,0.13,10,12.9,85.8,8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2/22/2018 10:35,270,0.32,0.02,0.14,0.12,10,6.6,86.5,8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,3/21/2018 11:45,220,0.36,0.11,0.13,0.095,16,24,100,7.9
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,4/10/2018 15:59,240,0.2,,0.12,,10,15.1,107,8.1
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,5/9/2018 11:29,262,,,,,6,9.33,101.3,8.03
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,6/6/2018 10:45,292.1,0.2,0.01,0.05,0.05,8,6.04,97.5,7.99
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,7/11/2018 10:55,313.7,0.1,0.01,1,0.04,5,7.69,98.8,8.06
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,8/15/2018 11:28,331.5,0.2,0.01,0.04,0.03,6,3.96,101.1,8.12
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,9/12/2018 11:48,318.9,0.1,0.08,0.03,0.03,9,5.08,102.4,8.06
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,10/24/2018 10:23,200.6,0.4,0.14,0.14,0.14,13,25.6,95.4,7.62
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,11/14/2018 11:17,260,0.1,0.01,0.1,0.1,9,,97.6,8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,12/5/2018 10:43,305.8,0.2,0.01,0.09,0.1,7,8.57,105.3,8.18
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,1/16/2019 13:34,350,0.3,0.01,0.11,0.09,16,9.53,121.4,8.45
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2/5/2019 10:48,342.8,0.8,0.02,0.16,0.09,5,11.2,108.3,8.78
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,3/13/2019 9:25,387,1.1,0.02,0.09,0.01,6,35.8,91.9,9
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,4/16/2019 12:08,291.4,0.7,0.16,0.11,0.07,15,15.1,93.1,7.84
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,5/15/2019 11:55,255.1,0.3,0.02,0.05,0.04,5,8.51,97.5,7.91
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,6/19/2019 7:56,259.9,0.2,0.01,0.04,0.02,5,7.91,91.8,7.77
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,7/10/2019 7:52,237,0.1,0.13,0.05,0.05,10,18.4,86.9,7.79
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,9/18/2019 8:51,323.4,1.3,0.01,0.04,0.04,5,3.69,82.6,7.84
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,10/15/2019 3:25,334,0.2,0.02,0.08,0.02,5,3.89,110.4,8.59
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,11/19/2019 13:58,407.9,0.3,0.01,0.07,0.04,5,4.77,113.4,8.34
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,12/10/2019 16:33,483.5,0.6,0.01,0.08,0.01,7,10.2,134,8.49
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,1/15/2020 6:04,417.3,1.2,0.05,0.15,0.02,18,20.9,41.6,7.61
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2/19/2020 10:34,273.4,2.4,1.63,0.16,0.14,12,25.5,87.1,7.27
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,3/17/2020 15:44,279.7,0.7,0.33,0.15,0.1,17,29.3,99.5,8.27
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,4/20/2020 15:52,311,0.3,0.01,0.1,0.06,14,6.04,98,7.94
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,5/19/2020 11:23,330.1,0.3,0.01,0.1,0.05,5,8.56,95.5,8.07
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,6/18/2020 9:40,314.7,0.1,0.01,2.13,0.03,5,7.61,95.4,7.93
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,7/15/2020 11:38,273.6,0.1,0.01,0.04,0.04,6,5.99,106.2,8.15
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,8/18/2020 12:03,259.7,0.3,0.01,0.05,0.01,8,5.59,105.7,8.64
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,9/8/2020 10:43,294.5,0.2,0.05,0.06,0.04,8,4.95,108.8,8.09
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,10/12/2020 12:54,327.7,0.3,0.01,0.09,0.07,6,4.26,136.3,8.54
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,11/18/2020 16:27,378.6,1.1,0.04,0.14,0.06,12,11.2,51.1,8.46
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,12/16/2020 6:47,93.7,2.1,0.66,0.72,0.2,232,351,59.8,7.08
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,1/13/2021 15:38,200.5,0.7,0.27,0.17,0.09,26,39.2,96.3,7.48
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2/16/2021 16:29,279.6,0.3,0.01,0.08,0.06,13,11.4,95.4,7.88
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,3/17/2021 11:26,153.6,0.9,0.14,0.41,0.16,130,151,92.4,7.4
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,4/12/2021 15:39,185.6,0.9,0.26,0.17,0.1,40,54.5,99.7,7.46
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,5/6/2021 11:18,263,0.2,0.17,0.11,0.07,13,23.3,98.2,7.8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,6/1/2021 7:08,324.7,0.6,0.11,0.1,0.05,10,9.02,96.9,7.93
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,6/28/2016 13:00,230,0.6,0.26,0.095,0.071,10,6.1,,
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,8/18/2016 13:37,220,0.19,0.04,0.07,0.053,10,3.3,103,8
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,9/29/2016 12:16,250,0.3,0.01,0.073,0.051,10,3.1,97.7,7.9
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,10/26/2016 9:29,250,0.19,0.01,0.077,0.06,10,3,97,7.7
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,11/29/2016 8:02,250,0.19,0.02,0.096,0.086,10,2.3,86.7,7.7
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,12/20/2016 8:28,270,0.3,0.04,0.12,0.11,10,4.5,88.5,8
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,11/21/2017 10:30,250,0.62,0.06,0.26,0.14,51,60.1,91.6,7.8
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,12/20/2017 11:30,200,0.19,0.03,0.097,0.079,10,10.6,104,8.1
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,1/17/2018 11:15,230,0.22,0.01,0.096,0.082,10,9.5,99.7,8.1
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,2/21/2018 14:28,240,0.26,0.01,0.12,0.088,10,10.6,111,8.2
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,3/21/2018 13:13,200,0.18,0.06,0.078,0.061,10,6.8,109,8.1
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,4/11/2018 9:06,210,0.1,,0.069,,10,4.6,96.1,7.8
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,5/9/2018 13:36,192,,,,,8,8.07,99.3,7.9
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,6/6/2018 13:07,197.6,0.1,0.03,0.03,0.04,8,4.86,103.3,7.93
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,7/11/2018 13:11,218.7,0.2,0.06,0.03,0.05,5,7.76,103.9,7.97
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,8/15/2018 14:32,190.2,0.1,0.02,0.05,0.04,9,6.71,104.8,8.05
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,9/12/2018 14:00,242,0.1,0.01,0.05,0.05,10,6.2,110.5,8.08
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,10/24/2018 13:18,164.4,0.2,0.09,0.06,0.08,13,15.4,98.2,7.68
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,11/14/2018 13:18,177.5,0.1,0.01,0.06,0.05,8,,106.4,7.96
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,12/5/2018 12:39,179.1,0.1,0.01,0.06,0.07,12,10.9,94,7.8
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,1/16/2019 15:45,194.2,0.2,0.01,0.1,0.07,19,12.3,118.8,8.22
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,2/5/2019 12:35,195.3,0.3,0.01,0.1,0.1,5,11.3,111,8.02
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,3/13/2019 11:53,168.5,0.1,0.01,0.08,0.1,5,15.2,104.4,8.14
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,4/16/2019 13:22,179.1,0.7,0.01,0.08,0.05,13,14.2,107.9,8.16
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,5/15/2019 14:13,158.8,0.1,0.01,0.07,0.04,6,12.6,108.2,8.27
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,6/19/2019 10:59,158.8,0.1,0.01,0.04,0.04,6,8.2,102.7,7.89
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,7/10/2019 10:16,174.3,0.1,0.07,0.05,0.04,11,17.7,92.3,7.91
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,9/18/2019 9:49,175.3,0.1,0.01,0.06,0.04,5,7.35,94.1,7.96
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,10/16/2019 8:44,178.3,0.1,0.01,0.08,0.06,7,2.38,82.8,7.79
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,11/20/2019 6:44,211.1,0.2,0.01,0.07,0.04,10,6.6,71.3,7.73
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,12/11/2019 6:49,239.2,0.3,0.01,0.08,0.03,8,9.42,78.9,8.05
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,1/15/2020 7:12,212.1,0.4,0.02,0.07,0.05,8,8.17,72.8,7.67
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,2/19/2020 13:43,261.2,4,2.83,0.39,0.12,58,89.8,87.1,7.59
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,3/18/2020 6:54,204.1,0.5,0.17,0.21,0.06,12,12.6,89,7.38
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,4/20/2020 14:31,182.8,0.2,0.05,0.07,0.04,14,8.25,105.7,7.91
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,5/19/2020 12:36,167.3,0.4,0.01,0.13,0.04,7,9.41,98.9,8.01
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,6/17/2020 13:36,155.6,0.3,0.08,0.06,0.04,9,11.6,102.5,7.88
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,7/15/2020 12:57,175.9,0.1,0.01,0.04,0.04,8,8.17,102.8,7.98
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,8/18/2020 13:16,167.9,0.1,0.01,0.06,0.03,5,3.98,101.6,8.04
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,9/8/2020 11:47,172.3,0.2,0.04,0.07,0.04,63,5.85,107,7.99
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,10/12/2020 14:04,189.9,0.3,0.01,0.08,0.05,9,7.88,107.2,8.02
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,11/18/2020 8:02,205.8,0.2,0.01,0.13,0.06,12,11.6,77.3,7.75
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,12/16/2020 8:17,153.9,1.8,1.19,0.22,0.11,88,50.2,84.5,7.41
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,1/14/2021 9:54,217.4,0.4,0.2,0.09,0.07,17,13.2,93.1,7.64
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,2/17/2021 8:24,148.1,0.4,0.15,0.14,0.06,76,54.1,86.5,7.65
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,3/17/2021 10:25,176.8,0.6,0.21,0.18,0.11,34,41.9,92.6,7.6
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,4/12/2021 14:28,176.8,0.5,0.28,0.07,0.07,12,12,98.6,7.53
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,5/6/2021 13:26,201,0.6,0.22,0.22,0.09,14,31,96.3,7.81
203005,RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,5/31/2021 13:15,237.5,0.1,0.08,0.06,0.04,5,3.01,112.9,8.12
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,6/28/2016 14:30,150,0.37,0.11,0.048,0.031,10,5.4,,
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,8/18/2016 15:06,190,0.21,0.03,0.04,0.024,10,4.3,103,7.4
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,9/29/2016 14:08,180,0.28,0.01,0.044,0.023,10,4.5,97.5,7.6
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,10/26/2016 8:04,190,0.2,0.01,0.04,0.018,10,3.4,91,7.6
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,11/29/2016 6:34,210,0.28,0.02,0.044,0.017,10,3.5,80.3,7.4
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,12/20/2016 7:08,200,0.69,0.03,0.066,0.047,10,4.3,79.5,7.5
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,1/24/2017 7:38,149,0.292,0.04,0.069,0.046,10,7,90.9,8
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,2/23/2017 11:58,178,0.27,0.01,0.055,0.037,10,2.4,109,7.8
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,3/30/2017 7:24,65,1.283,0.1,0.313,0.089,324,381,102,7.6
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,4/27/2017 7:34,156,0.188,0.05,0.038,0.025,10,4.3,91.9,7.6
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,7/26/2017 8:48,170,0.32,0.06,0.041,0.025,10,6.3,99.6,
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,8/24/2017 8:56,190,0.16,0.02,0.025,0.016,10,3.5,92.3,7.4
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,9/28/2017 8:28,210,0.2,0.01,0.033,0.012,10,3.2,77.2,7.6
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,11/21/2017 8:20,140,0.26,0.03,0.066,0.033,10,13.3,95.3,7.6
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,12/20/2017 13:29,170,0.16,0.01,0.051,0.03,10,7.3,105,7.9
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,1/17/2018 13:02,170,0.18,0.01,0.051,0.03,10,4.8,101,7.9
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,2/22/2018 7:41,170,0.22,0.01,0.047,0.031,10,3.6,84.1,7.5
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,3/21/2018 14:52,140,0.15,0.03,0.037,0.027,10,5.6,104,7.8
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,4/11/2018 11:07,150,0.1,,0.04,,10,4.8,97.1,7.6
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,5/9/2018 15:25,167,,,,,5,4.31,102.1,7.84
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,6/6/2018 15:04,176.7,0.1,0.02,0.01,0.02,27,2.9,100.5,7.73
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,7/11/2018 15:01,170.2,,,,,,3.63,98.3,7.72
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,8/15/2018 16:14,194.9,0.1,0.01,0.02,0.01,5,3.36,100.1,8.02
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,9/12/2018 16:01,196,0.1,0.02,0.02,0.01,11,5.25,103.1,7.77
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,10/24/2018 15:08,130.7,0.2,0.09,0.04,0.04,10,14.2,99.7,7.38
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,11/14/2018 15:02,178.1,0.1,0.01,0.03,0.02,5,,103.6,7.72
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,12/5/2018 14:50,183.9,0.1,0.01,0.01,0.02,5,4.28,97.6,7.6
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,1/16/2019 17:16,173.9,0.3,0.01,0.04,0.02,14,7.03,118.2,7.96
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,2/5/2019 14:37,190.3,0.2,0.03,0.06,0.03,5,3.64,120.3,7.66
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,3/13/2019 14:19,140.3,0.3,0.06,0.04,0.04,5,4.63,99.7,7.86
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,4/16/2019 15:04,141.6,0.1,0.01,0.07,0.02,5,3.16,105.9,8.04
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,5/15/2019 15:48,157.7,0.1,0.01,0.02,0.02,5,2.86,106.8,8.02
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,6/19/2019 13:28,170.3,0.1,0.01,0.02,0.01,5,2.99,104.4,7.63
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,7/10/2019 12:46,127.7,0.1,0.08,0.04,0.03,6,17.8,93.6,7.86
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,9/18/2019 12:02,190.6,0.2,0.01,0.01,0.01,5,2.31,113.7,8.17
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,10/16/2019 10:48,189.3,0.1,0.01,0.05,0.01,5,1.6,96.3,7.99
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,11/20/2019 9:02,207.2,0.2,0.01,0.04,0.01,5,2.11,98.5,8.47
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,12/11/2019 8:52,214.2,0.3,0.02,0.03,0.01,5,2.63,95.1,8.22
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,1/15/2020 9:55,221.5,0.4,0.04,0.04,0.01,5,3.29,58.9,7.68
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,2/19/2020 15:17,143.7,0.6,0.18,0.11,0.04,5,13.6,96.5,7.43
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,3/18/2020 9:04,144.4,0.2,0.05,0.08,0.03,5,6.93,92.7,7.48
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,4/20/2020 12:17,164.8,0.1,0.01,0.05,0.02,5,1.96,96.7,7.48
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,5/19/2020 14:09,176.3,0.3,0.01,0.07,0.02,5,2.51,98.4,7.7
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,6/17/2020 15:33,159.6,0.3,0.07,0.03,0.02,5,8.46,98.3,7.65
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,7/15/2020 14:49,173.5,0.1,0.01,0.01,0.01,5,2.52,104.3,7.72
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,8/18/2020 15:20,169.2,0.1,0.01,0.02,0.01,5,2.14,97.2,7.74
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,9/8/2020 13:44,184.1,0.2,0.05,0.02,0.01,5,2.01,98.7,7.54
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,10/12/2020 15:40,195.7,0.3,0.01,0.02,0.01,5,2.28,124.9,8.18
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,11/18/2020 9:58,202.2,0.2,0.03,0.08,0.03,5,2.4,75.7,7.39
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,12/16/2020 10:42,94.3,0.6,0.26,0.1,0.03,26,29.3,92.9,7.3
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,1/14/2021 11:42,133.3,0.1,0.01,0.04,0.02,5,6.45,99.7,7.49
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,2/17/2021 10:34,137.2,0.1,0.02,0.03,0.02,5,9.69,92.7,7.68
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,3/17/2021 8:28,116,0.3,0.06,0.05,0.03,13,25,96.5,7.36
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,4/15/2021 12:15,125.7,0.1,0.1,0.05,0.03,5,8.54,102.3,7.36
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,5/6/2021 15:08,129.9,0.4,0.12,0.11,0.03,5,30.7,99.4,7.56
20110017,OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,5/31/2021 11:35,171.4,0.2,0.05,0.03,0.02,5,3.9,99,7.65
